,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
CME,0.0007268553075758579,0.012331446927574829,0.00151238369005605,0.5657370517928287,-16.885639116729656,133,0.5472499883933424,0.0005051606146043325,-2.3738613047075052,-0.020369813597273564,-0.027910220016756884,0.013804195041171252,0.2092088779467632,0.02685121183287038
CMG,0.0023473587124107765,0.022980967681686473,0.0016682646369713,0.5617529880478087,-26.911331200791732,109,0.7695522530447101,0.0020356078598156593,-1.2032844600197408,-0.026589081979321118,-0.044516167585279924,0.007225183261253817,0.22498686408449478,0.0886892281089067
CMI,0.00013469025575648535,0.015048483647106543,0.0006555405490372001,0.5219123505976095,-34.81039072011919,3,1.0733759814363693,-0.00030014165597396815,-1.9846059207424454,-0.02445388697839845,-0.036095203190507255,-0.0017664475313606265,1.681315836883242,-0.02420593684657066
CMS,0.0006310498481461701,0.010008938642990678,0.0007114249221964999,0.5358565737051793,-10.480067307414743,78,0.17272897928110806,0.0005610761636488273,-2.9342721740452555,-0.01657700229752283,-0.02311625100190086,0.0248881043060641,0.15874950775037291,0.017973854266282296
CNC,0.0006026707931583888,0.019886329151448928,0.00096331522926995,0.5338645418326693,-41.8164513592869,58,1.0717405366174861,0.0001685014112491942,-1.4782682607211952,-0.03194294382365804,-0.044610179994082386,-0.001718046716615386,0.6561892356642449,0.011526792006877264
CNP,1.636420134524593e-05,0.011856501248715566,0.0010300420155867,0.5258964143426295,-22.32484176447208,127,0.3804626167478665,-0.00013776379279997514,-2.52887721003723,-0.02109003220929432,-0.028989317353835673,0.018740249491709226,8.5904969570442,-0.030579455409347006
COF,0.00018062865035487158,0.015189806937446777,0.0002846987137208,0.5139442231075697,-33.043232057227655,4,1.1530002995557918,-0.0002864596142909604,-1.9631172056659072,-0.02383944098829102,-0.03674878523599438,-0.004122920722027919,1.2773734086126574,-0.020933728446158116
COO,0.0008584923956788175,0.01470707806974966,0.0023675123807980003,0.5737051792828686,-17.660839053349942,94,0.9055034600646509,0.0004916667843105106,-1.9814614069575833,-0.022440284958998816,-0.03406419332989249,0.003201721809428782,0.2519511488260563,0.03773685303860421
COP,0.0004864778160618127,0.0181538908290089,0.00022843189292505,0.5079681274900398,-36.88822311409516,53,1.0649717817928934,5.505050277658128e-05,-1.625740865246211,-0.030828138936239077,-0.03984061927798724,-0.0015177261405015727,0.6774486756651993,0.0053749208921048735
COST,0.0009625352975469447,0.012248533474070235,0.00214209333054355,0.5776892430278885,-22.202202911460034,140,0.808755432330659,0.0006349029703430801,-2.3706890922023,-0.018432089044954587,-0.029432894936330497,0.006064969357284095,0.1558660473519954,0.05709714022357096
CPB,0.0002380749319257607,0.017564276675379898,0.0010223211630921501,0.5278884462151394,-32.368977346855985,419,0.3023343255871657,0.00011559723999820195,-1.694457768920935,-0.02364234971530757,-0.04009199460937489,0.021052447924312587,1.2958265392909807,-0.009018670455244073
CPRT,0.0015989212358442915,0.016258560702805437,0.00207762376550065,0.5717131474103586,-32.370202120983116,153,0.9680869202529475,0.0012067426390291074,-1.7468384368891314,-0.022181054388337562,-0.03646215902119734,0.0013495709892267609,0.16532446389532576,0.08867988731225408
CRL,0.0007883343990151945,0.017083836807120004,0.0024345183183328003,0.5617529880478087,-23.617282694566722,178,1.2475530981771341,0.0002829421524515221,-1.7099007635574173,-0.02929615013851952,-0.040220699349372786,-0.006921200698750352,0.37022040445894955,0.030365577690912686
CRM,0.0010631018915230768,0.01897574156007205,0.0018597159902442,0.5537848605577689,-24.783392334367417,92,1.4148390966169184,0.0004899409490268122,-1.5249416217474587,-0.03260133149548721,-0.04309549842030082,-0.011872011956011286,0.3387057916327951,0.04678729365045949
CSCO,0.00054864355266823,0.016057186258345794,0.00147455515540645,0.5438247011952191,-25.030144651613483,91,1.295757879402834,2.3723221316532283e-05,-1.8341542517777234,-0.02849203302465093,-0.039821962745823676,-0.008347816050733321,0.4699467063474693,0.013281539684616163
CSX,0.0006186048437995932,0.015472408987165006,0.00026824964106734995,0.5079681274900398,-22.172191585909808,147,1.117628001425757,0.00016584613774664123,-1.898954143506255,-0.02244694528731847,-0.03512047957151159,-0.0030760813367197576,0.3869925078434407,0.01873288277099268
CTAS,0.0011759482871900309,0.014173148642506447,0.0016445515906724,0.5617529880478087,-27.90202926387606,158,1.0099071090547183,0.0007668280474090075,-2.0337084186335455,-0.019748589276398908,-0.03413815738247007,0.00011190696813947673,0.1708222586237934,0.0733314929260919
CTLT,0.0007657694424354829,0.0191392050180361,0.0015362031924869,0.5418326693227091,-37.033128219229084,339,1.0717277608020777,0.00033160523609601785,-1.527452709243421,-0.027443115969870546,-0.04418713445033367,-0.0017176686177228645,0.47835438243316986,0.022169242895174236
CTRA,-0.0008259821486328048,0.01906473786392573,0.0006667081727856001,0.5179282868525896,-46.05082559963043,3,0.7591157988726791,-0.0011335051226487511,-1.6169108837820256,-0.0335811806833731,-0.045182770899658636,0.0075340490078355735,-0.4400388439651177,-0.06913374201523198
CTSH,-0.00015878277570031211,0.014672436228718225,0.00023348868216305,0.5059760956175299,-32.94824962824319,14,0.9143149324215393,-0.0005291779744605211,-2.0554720637783928,-0.02282510051048698,-0.03855188579287943,0.002940947226114033,-1.3558169891936203,-0.047358587063361005
CVS,0.00017114114935122326,0.017331116975149174,0.00105078104336605,0.5219123505976095,-37.66590603829645,3,0.8743282975172227,-0.0001830551915997732,-1.7211157765203435,-0.029007229466738043,-0.04042704018851024,0.004124347415434316,1.755087053843938,-0.01530266526209119
CVX,-2.1939964861773745e-05,0.013537687455216699,0.0007671089481874,0.5159362549800797,-24.408687687093845,2,0.8913287702842511,-0.0003830233129765752,-2.217656454558856,-0.022390270951949738,-0.03245080697509301,0.0036212202395872715,-8.353203060705136,-0.04001613986894636
CZR,0.0016317109931896035,0.02722180382309045,0.0016025771578905,0.5298804780876494,-35.07537841796869,141,1.5451668299920196,0.0010057533993474083,-1.0421164295786842,-0.04067910070478215,-0.060845198439345265,-0.01572904730591839,0.45414084140862016,0.052069794491228484
