,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
ANSS,0.628510010463898,0.43612121728535763,0.7301497315023897,0.42240434229086815,0.42240434229086815,-0.0669325043419038,-0.34960509379882243,-0.12978744179267712,-0.33519780114138703,2.034297089778948,2.1589591677023825,-0.3618845375821944,-0.34914687587012,-0.8294970626089067,-0.1787478297805685,-0.08501281187993537,-0.08342783956841238,0.08221320003897277,-0.05967719556424799,-0.007130858850501274,-0.24325626770186037,-0.27322289969579877,0.13091935067888794
AON,-0.8534663947432588,-0.9344827560797037,-0.599132113713517,-0.6649467862089494,-0.6649467862089494,-0.8100792301780713,-1.0152196400505558,-0.8868542732152527,-0.875798398718495,-0.40686146430443804,-0.4516590240965344,-1.0112505563170906,-0.9907882059658346,-1.0641925168340907,-0.9685626828527388,-0.9790679562191993,-1.1163531859899358,-1.0582523247378748,-1.211263496620086,-1.1842540065370772,-1.1444292146339328,-1.1300287284213282,-0.8064109630345493
AOS,-0.358975244684547,-0.3190113297432722,-0.2773628389641449,-0.291829048577115,-0.291829048577115,-0.21900835563061988,-0.28072050238137664,0.0027937071530048274,0.16100214770943083,-0.22390591581326658,-0.34997307111572273,-0.5404995741074454,-0.6859305742168814,-0.22971979070010293,-0.2957282274633878,-0.4556344308964256,-0.4687059427263626,-0.6185919749660818,-0.027495464930515325,-0.0019957247792301053,-0.48146330600577153,-0.4567613579685626,-0.465563576229663
APA,0.16006518239287781,0.36379752371415525,-0.027749230527597556,-0.0298796420930309,-0.0298796420930309,-0.30314361912014426,-0.15997451951045055,-0.29496878624065803,-0.4979204507368964,-0.1696541497803278,-0.07374303816462982,-0.7188440801247937,-0.7352780228093294,0.396134753900388,-0.046288289592110225,-0.35221417820048334,0.16302871769558042,0.03308557665144163,-0.08484366177394385,-0.04069150634334982,0.36581351422815783,0.394026137656475,-0.5507754229308846
APD,-0.6966144633578732,-0.7817022073398644,-0.41759326543313957,-0.5945296822884029,-0.5945296822884029,-0.759336655613995,-0.9819642933179936,-0.6684281167981918,-0.7563392424818489,-0.16019923776484288,-0.0891511625986509,-0.7001855389696341,-0.6487489190524748,-1.0902697895257778,-0.8679807938384764,-0.6024820973075731,-0.6822752176077584,-0.5037552237525346,-0.7366186634656322,-0.7515268180499167,-0.9803275482350358,-1.011299293773083,0.04570750397766637
APH,0.4622582862430906,0.19600070738344802,1.116465376649146,0.9253787484188125,0.9253787484188125,-0.10839320515854828,-0.04324287697082459,-0.060467684905815146,0.10292186696893994,-0.47053554880238163,-0.3906941181202496,-0.057460719046893254,-0.09424908181715026,0.187516572366891,-0.025351777128637374,0.11372870162978388,-0.11674212956022688,0.12760636225209357,-0.0614187013670899,-0.02711213057065373,0.3468567071033936,0.3632592983948843,0.30134304408133106
APTV,-0.3235223159661456,-0.16509095648917574,-0.315997748130533,-0.4154966615371387,-0.4154966615371387,-0.045125767196529096,0.06038803750142582,-0.04114470712345996,-0.2590262133153757,-0.09627513688577766,-0.21397995486197144,0.9347100487496769,1.1813878848737676,0.31790293582532664,-0.053788861204213625,-0.3565623233437755,-0.06627790305419658,-0.03994756649334596,0.5205248374613388,0.5624504539836995,0.07646525423821081,0.08740162439597726,-0.5507754229308846
ARE,-0.48858407618079763,-0.7081074876281593,-0.511845134867847,-0.5855893771320969,-0.5855893771320969,-0.6539180935098432,-0.9486800390424075,-0.6264771486566757,-0.6164419306065057,-0.4310717151116509,-0.4221287505102682,-0.3811538533840424,-0.30226926713800983,-1.2728106983675878,-0.8756067512907982,-1.0045926141378752,-0.5393523665867569,-0.4509718030069055,-0.5064835462526847,-0.4786499289449472,0.14749949853843516,0.20880183737455774,-1.0052386053373996
ATO,-1.0361266077505016,-0.9656654197642368,-0.9535459959874968,-0.9160780331836315,-0.9160780331836315,-0.9147934552469401,-0.5320152961372476,-1.0481122061466999,-0.8244053544362169,-1.20765131297324,-1.2245745583750776,-1.0229965227443547,-1.017599036118997,1.28276202541775,-0.9508281373105599,-0.5974947866992887,-0.8781086967298112,-0.8664508956442627,-1.0609686754927838,-1.0259876619840036,-0.7064699352930641,-0.6746575506243473,0.2161311973801095
ATVI,1.6836828038279856,0.7688114628156183,0.7269016860295813,0.543621821346429,0.543621821346429,1.132162298952552,0.3167423820667587,1.0243872928436701,0.6234013491995063,0.1540906311976978,0.1683336072567205,0.4377033654029639,0.36811774736349706,-1.4814288799010846,1.324801390641689,0.9291528064667415,1.2013943727547187,1.125812101408715,0.5214478008947859,0.5314770960190055,0.9077715227744406,0.8655531381385136,0.07411145287807355
AVB,-0.42305684333523735,-0.3029018941407346,-0.4788299646850643,-0.47805753140688456,-0.47805753140688456,-0.4344582907900637,-0.04587127357388047,-0.5668707462090181,-0.6498724849633897,-0.325605742957588,-0.4574493984480386,-0.6185257750964045,-0.5776261418250856,1.2045302073426887,-0.360564809564415,0.2557137224099706,-0.3296473486031455,-0.1574381864572225,-0.4733709340005531,-0.4601735964628648,-0.17506278366688605,-0.1733376065127091,1.1250575621931396
AVGO,0.9983991731376346,1.2479493367567762,0.4002275628998714,0.2973308994712495,0.2973308994712495,1.1170063656650215,1.2373779579775679,1.108336225662094,1.0725523936292023,1.5204947449048372,1.5025200449368306,0.10663749434899608,-0.1391547665501348,0.47436657197544935,1.3008906854207454,1.3523978192191508,1.2961853111809554,2.4046340304363496,1.5603492984064498,1.6181711080545456,1.556161208338959,1.4327446831714505,0.6421904308862173
AVY,0.009001113208035682,-0.26013625274289487,0.019029909193139658,-0.2170579383808844,-0.2170579383808844,-0.15649976229079227,-0.46555213120419825,-0.18039699598422268,-0.2880763589019416,0.9660025321149248,1.0357608409929597,1.9531934201338954,2.4057252961331885,-0.9598834260673423,-0.1535247347136151,-0.4866972620897811,-0.3341356214410436,-0.3718625010821128,1.8081070785595221,1.8568730631162356,-0.10435803347748289,-0.07343557422020142,-0.6927951674329205
AWK,-1.0399480236664107,-0.9820432842407001,-0.812677128347374,-0.8260653888036906,-0.8260653888036906,-0.9355237004906184,-0.8838563050277689,-1.0632617707566994,-0.8293244815727917,-0.9263186908162625,-0.881850868893955,-0.9943813533650435,-0.9821804087722052,-0.09933342724166731,-1.2179719857980014,-0.7807401139837381,-1.2053732077721724,-0.7239393858118369,-1.0302034339139488,-1.027471873761783,-1.0188920403340107,-1.0295369986730993,0.24453514628051667
AXP,-0.6855722822244761,-0.707770117955776,-0.564702364288052,-0.5572515488878762,-0.5572515488878762,-0.5157464553657625,-0.5883427209250353,-0.5343605873434083,-0.5967547915178658,-0.6049885155794429,-0.6428299525242545,-0.684165580705737,-0.6692703265978798,-0.38618342685022566,-0.7819280557084081,-0.7674599610111271,-0.6396604377881835,-0.278219438063473,-0.8558686321079878,-0.8376256731938146,-0.6496042654499569,-0.6761047712864778,-0.5223714740304773
AZO,-0.00557113397092909,0.07309685450264504,-0.37357379438945293,-0.45438721097710444,-0.45438721097710444,-0.25683627982138907,0.06640530997859741,-0.33776358896151354,-0.11794015667595326,-0.09341604653695758,-0.004796556013444865,-0.3186437475880114,-0.3514736436061419,0.9698347531175047,-0.5029924771389046,0.4333628879194743,-0.5505623647543888,-0.5147193036661415,0.22181972322526908,0.13378396339892748,-0.3009233078562687,-0.2717110375792135,1.806752335802912
BA,-0.1517816778695025,0.019597793007614227,-0.4485201782597331,-0.4124068271391316,-0.4124068271391316,-0.2208158161575018,0.16197702549426962,-0.2435278556263763,-0.2920709415179005,-0.3008654494727509,-0.32044997373080575,0.3964981874180059,0.5464227617218885,1.1523756619593144,0.2092405434773587,0.9561363516951451,-0.0520165132605316,0.3510993728375475,0.196302877331455,0.18062048639742895,0.15768956678025628,0.13363148309591494,1.4659049489980258
