,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
MTCH,0.0023709776431453506,0.032128489115861136,0.0019981515419797502,0.5318725099601593,-39.616987873073974,142,1.1470898728211223,0.0019062837325754688,0.0700913764097921,-0.040364738849160725,-0.06696262029429668,0.0004471832114245102,0.4353646335941966,0.06495609308647463
MTD,0.0005938835317742937,0.015607001468068414,0.0014954295830041,0.5418326693227091,-26.317838516698345,273,1.192809120682872,0.00011066844288998761,0.030424544631342452,-0.028387493847224502,-0.03815642191326988,0.00046026162213634516,0.4101452251025913,0.01717766740020659
MU,0.0008453395373740778,0.029365934964906786,0.0006522497166276499,0.5099601593625498,-53.65697707959012,45,1.9055938929120049,7.337048853438646e-05,0.02473246362475434,-0.0479486681965744,-0.06438675782235088,0.0006641602520644527,1.0201322642992932,0.01779113011217553
NCLH,0.0002607062282681281,0.016686664103359977,0.00092114841580265,0.5239043824701195,-35.08944848355585,4,1.09048509003572,-0.00018105669974080043,0.008489330662081532,-0.028865761019243454,-0.038137696994073114,0.0004309908934808667,1.0680403024817298,-0.010957640472928853
NDAQ,0.0007379075266229573,0.012137666569947563,0.00132315897933005,0.549800796812749,-20.66363667551111,198,0.8131106442265706,0.0004085108734536874,0.05098672829814041,-0.02153601047247952,-0.028740690225957526,0.00035164538599944,0.19964960980605242,0.03472629902820597
NEE,0.000937138263714155,0.009917285907299452,0.00143960851090525,0.5637450199203188,-8.288098115498066,46,0.19464503292420907,0.0008582862368018235,0.08249138446884888,-0.014631399756417925,-0.021684731920353507,0.0001747276182308781,0.10494989221475191,0.04310759004098225
NEM,0.0003912416800867324,0.01625913474958187,0.0005356103594026,0.5139442231075697,-29.422981996428945,423,0.09332937523564709,0.0003534333153047866,0.01674099300063389,-0.02463138167423191,-0.03818357044026332,0.00014574534392055918,0.6756935067512648,-0.0007565016693872229
NFLX,0.0012781394566827589,0.025710258656749144,0.00059816365689075,0.5159362549800797,-44.17738639965035,25,1.6928113119133918,0.0005923700788611877,0.04508285401208397,-0.042795425516353146,-0.05746181725283997,0.0006032918406890244,0.5171715783757488,0.0412021742134562
NI,0.00025980027763843565,0.012065800822260844,0.0008574597667371,0.5278884462151394,-14.790571431299714,128,0.2318874194759066,0.00016586110659231375,0.011665422019161336,-0.017827298812880095,-0.02750533576668809,0.00018538114491803778,0.5603671820746831,-0.010462765637330222
NKE,0.0010581791199941555,0.01599101880470174,0.0010822210169553,0.5398406374501992,-21.063709678138455,105,1.0869735070821438,0.0006178387581272979,0.05872868467082344,-0.023208656650604453,-0.03462354059136953,0.0004299863729285071,0.2416534947445731,0.05304175278575195
